trail_name,osm_id,total_score,breakdown,distance_miles,surface,difficulty,highway_type,county,ref
Mountains-to-Sea Trail,663589372,85,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",6.095,ground,mountain_hiking,path,Unknown,nan
Trail 199226508,199226508,90,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 5, 'named': 0, 'forest_service': 0}",6.086,ground,grade2,track,Unknown,nan
Baxter Creek Trail,167431666,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",5.946,ground,unknown,path,Unknown,nan
Rainbow Falls Trail,167433880,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",5.791,ground,unknown,path,Unknown,nan
Mountains-to-Sea Trail,218911669,85,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",5.758,ground,mountain_hiking,path,Unknown,nan
Art Loeb Trail,267283621,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",5.598,ground,unknown,path,Unknown,nan
Neverending Road,467780745,75,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 5, 'named': 10, 'forest_service': 10}",5.558,gravel,unknown,track,Unknown,FS 5097
Gabes Mountain Trail,167432179,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",5.515,ground,unknown,path,Unknown,nan
Wash Creek Road,112927468,75,"{'surface': 20, 'difficulty': 10, 'trail_type': 20, 'length': 5, 'named': 10, 'forest_service': 10}",5.439,unpaved,grade1,track,Unknown,FS 5000
Avery Creek Road,231342205,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 5, 'named': 10, 'forest_service': 10}",5.429,gravel,grade2,track,Transylvania,FS 477
South Ridge Road,114869553,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 5, 'named': 10, 'forest_service': 10}",5.405,gravel,grade3,track,Unknown,FS 479M
475C,267283620,90,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 5, 'named': 10, 'forest_service': 10}",5.16,unpaved,grade3,track,Unknown,FS 475C
Boulevard Trail,167431761,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",5.146,ground,unknown,path,Unknown,nan
Yellow Gap Road,265512581,70,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 5, 'named': 10, 'forest_service': 0}",5.014,gravel,grade1,track,Henderson,NFD 1206
Trail 1160805295,1160805295,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 5, 'named': 0, 'forest_service': 10}",5.014,ground,unknown,track,Unknown,FS 4652
Little Cataloochee Trail,167432567,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",5.009,ground,unknown,path,Unknown,nan
Fork Ridge Trail,167432151,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.97,ground,unknown,path,Unknown,nan
Golden Ridge Trail,666361537,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.927,ground,unknown,path,Unknown,TR 294
Moses Creek Road–Mysterious Cabin Loop,1160864035,60,"{'surface': 25, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",4.9,gravel,unknown,footway,Unknown,nan
Alum Cave Trail,288576403,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.852,ground,unknown,path,Unknown,nan
Flint Mountain Trail,19646370,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.803,ground,unknown,path,Unicoi,nan
Bradley Creek Trail,112927501,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.707,ground,unknown,path,Unknown,351
Mountains-to-Sea Trail,114815664,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.661,ground,mountain_hiking,path,Unknown,nan
Moses Creek Road,1160875813,60,"{'surface': 25, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",4.659,gravel,unknown,footway,Unknown,nan
Art Loeb Trail,453604210,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.629,ground,unknown,path,Unknown,nan
Paint Mountain Trail,611634257,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.628,ground,unknown,path,Unknown,TR 7
Thomas Divide Trail,167434380,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.608,ground,unknown,path,Unknown,nan
Jerry Miller Trail,693048981,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.513,ground,unknown,path,Unknown,TR 286
Slate Rock Creek Trail,112927486,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.448,ground,unknown,path,Unknown,320
Art Loeb Trail,902808469,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.429,ground,unknown,path,Unknown,nan
North Boundary Road,162931586,100,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",4.396,gravel,grade2,track,Unknown,FS 485
Appalachian Trail,30673774,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.135,ground,unknown,path,Unknown,TR 1-08
Mysterious Cabin Loop,1160808884,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 10, 'forest_service': 0}",4.101,ground,unknown,footway,Unknown,nan
Appalachian Trail,237614144,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",4.033,ground,unknown,path,Unknown,nan
Boogerman Trail,167431748,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.984,ground,unknown,path,Unknown,nan
Appalachian Trail,237582438,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.958,ground,unknown,path,Unknown,nan
Shining Creek Trail,114815722,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 10}",3.903,ground,unknown,path,Unknown,FS 363
Laurel Ridge Road,659194924,90,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",3.888,gravel,grade2,track,Henderson,nan
Trail 734309868,734309868,90,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 10}",3.874,gravel,grade2,track,Unknown,FS 3548
Ramsey Cascades Trail,279159542,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.82,ground,unknown,path,Unknown,nan
Art Loeb Trail,166036050,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.815,ground,unknown,path,Unknown,nan
Trail 766775014,766775014,85,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 10}",3.815,unpaved,grade2,track,Haywood,FS 289
Forney Ridge Trail,167432169,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.782,ground,unknown,path,Unknown,nan
Smokemont Loop Trail,167434271,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.76,ground,unknown,path,Unknown,nan
Sam Smith Loop,1113392611,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",3.754,ground,unknown,track,Jackson,BIA-433
Lickstone Ridge Road,16602137,100,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",3.737,gravel,grade2,track,Unknown,FS 97
Trail 267559573,267559573,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 10}",3.689,ground,grade4,track,Unknown,FS 140B
North Slope Trail,449217435,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.626,ground,unknown,path,Unknown,359
Funneltop Mountail Trail,152673006,85,"{'surface': 20, 'difficulty': 15, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",3.619,unpaved,grade4,track,Unknown,FS 5018
Neal Barnett Road,16656816,85,"{'surface': 20, 'difficulty': 15, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",3.612,unpaved,grade4,track,Unknown,FS 3514
Wolf Mountain Road,16630779,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 0}",3.607,ground,unknown,track,Unknown,nan
Sweat Heifer Creek Trail,167434371,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.595,ground,unknown,path,Unknown,nan
Art Loeb Trail,98441969,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.573,ground,unknown,path,Unknown,nan
Kitsuma/Youngs Ridge Trail,333032293,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.556,ground,mountain_hiking,path,Unknown,TR206
Long Bunk Trail,167432585,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.538,ground,unknown,path,Unknown,nan
Old Butt Knob Trail,114815601,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 10}",3.468,ground,unknown,path,Unknown,FS 332
Deep Creek Trail,991009472,100,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.464,ground,hiking,path,Unknown,nan
Little River Trail,167432581,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.457,ground,unknown,path,Unknown,nan
Trail 1160805297,1160805297,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 10, 'named': 0, 'forest_service': 10}",3.454,ground,unknown,track,Unknown,FS 4653
Appalachian Trail,237582434,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.438,ground,unknown,path,Unknown,nan
Big East Fork Trail,114815726,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 10}",3.417,ground,unknown,path,Unknown,FS 357
Mountains-to-Sea Trail,98261231,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.365,ground,mountain_hiking,path,Unknown,nan
Green Mountain Trail,616960232,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.356,ground,mountain_hiking,path,Unknown,nan
Indian Creek Road,277636235,100,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",3.33,gravel,grade3,track,Unknown,FS 5003
Horse Creek Road,653672166,110,"{'surface': 35, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",3.322,dirt,grade3,track,Unknown,FS 94
Trail 1069949997,1069949997,50,"{'surface': 25, 'difficulty': 5, 'trail_type': 10, 'length': 10, 'named': 0, 'forest_service': 0}",3.312,gravel,unknown,footway,Unknown,nan
Right Loop,164856358,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.29,ground,unknown,path,Unknown,nan
Appalachian Trail,30671408,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.202,ground,unknown,path,Unknown,TR 1-08
Roundtop Ridge Trail,655220025,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.175,ground,unknown,path,Unknown,TR 295
Mountains-to-Sea Trail,587054175,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.169,ground,mountain_hiking,path,Unknown,nan
Appalachian Trail,30670574,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.137,ground,unknown,path,Unknown,TR 1-08
Bernard Mountain Trail,1180075913,75,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.136,dirt,unknown,path,Unknown,nan
Grapeyard Ridge Trail,167432201,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.134,ground,unknown,path,Unknown,nan
Mountains-to-Sea Trail,98261242,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.129,ground,mountain_hiking,path,Unknown,nan
Farlow Gap Trail,313769039,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.104,ground,unknown,path,Unknown,106
Big Clifty Road,636158481,100,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 10, 'named': 10, 'forest_service': 10}",3.067,gravel,grade2,track,Unknown,FS 404
Flat Laurel Creek Trail,860328531,75,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.005,dirt,unknown,path,Unknown,nan
Riverside,112927462,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 10, 'named': 10, 'forest_service': 0}",3.002,ground,unknown,path,Unknown,115
Brown Gap Road,648589972,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",2.967,gravel,grade2,track,Unknown,FS 2250
Mountains-to-Sea Trail,98261246,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.958,ground,mountain_hiking,path,Unknown,nan
South Mills River Road,815044047,75,"{'surface': 20, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.942,unpaved,grade4,path,Unknown,TR 133
Turkey Pen Gap Trail,112927428,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.933,ground,unknown,path,Unknown,322
Sycamore Cove,152918849,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.911,ground,unknown,path,Unknown,143
Kagle Mountain Road,16780202,85,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",2.903,gravel,unknown,track,Transylvania,FS 5361
High Knob Road,16623816,70,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",2.851,unpaved,unknown,track,Jackson,nan
Kanati Fork Trail,167432429,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.846,ground,unknown,path,Unknown,nan
Mingus Creek Trail,167432782,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.845,ground,unknown,path,Unknown,nan
Laurel River Trail,395478543,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.839,ground,unknown,path,Unknown,TR 310
Demostration Trail,1126587894,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.836,dirt,unknown,path,Unknown,nan
Looking Glass Rock Trail,28206916,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",2.835,ground,unknown,footway,Unknown,114
Bennet Gap,152918909,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.834,ground,unknown,path,Unknown,138
Trail 655108520,655108520,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",2.834,ground,grade4,track,Unknown,FS 3512
Explorer Loop,114869544,115,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 10}",2.819,ground,hiking,path,Unknown,FS 337
Buckeye Gap Trail,614072314,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.814,ground,mountain_hiking,path,Unknown,nan
Appalachian Trail,30673761,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.791,ground,unknown,path,Unknown,TR 1-08
Cantrell Creek,745933843,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.783,dirt,unknown,path,Unknown,nan
Trace Ridge,112927459,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.747,ground,unknown,path,Unknown,354
Cat Gap Loop Trail,267283650,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.741,ground,unknown,path,Unknown,120
Northern Boundary Trail,1005899589,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",2.735,ground,unknown,footway,Unknown,nan
Canebrake Trail,283807342,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.725,ground,mountain_hiking,path,Transylvania,nan
Rough Creek Trail,167434057,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.719,ground,unknown,path,Unknown,nan
Douglas Falls Trail,16435220,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.708,ground,unknown,path,Unknown,TR 162
Mountains-to-Sea Trail,958919833,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.706,ground,mountain_hiking,path,Unknown,nan
Appalachian Trail,359902629,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.702,ground,unknown,path,Unknown,nan
Rumbling Bald Ridgeline,879996631,90,"{'surface': 35, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.691,dirt,grade4,path,Unknown,nan
Mountains-to-Sea Trail,588790637,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.674,ground,mountain_hiking,path,Unknown,nan
Davis Creek Trail,708825146,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.652,ground,unknown,path,Unknown,TR 19
Sarvis Cove Trail,653672635,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.623,ground,unknown,path,Unknown,TR 14
Flat Creek Trail,167432123,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.6,ground,unknown,path,Unknown,nan
M3 Loop,164856354,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.58,ground,unknown,path,Unknown,nan
Trail 363346980,363346980,55,"{'surface': 20, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",2.574,unpaved,unknown,path,Unknown,nan
Big Creek,112927479,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.571,ground,unknown,path,Unknown,102
Long Branch Trail,152918879,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.571,ground,unknown,path,Unknown,116
Sheep Rock,363234521,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.57,dirt,unknown,path,Unknown,nan
Mountains-to-Sea Trail,98261141,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.558,ground,mountain_hiking,path,Unknown,nan
Paint Mountain Trail,611634266,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.546,ground,unknown,path,Unknown,TR 7
Brown Creek,16653362,70,"{'surface': 20, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",2.489,unpaved,unknown,track,Macon,7072
Trombatore Trail,854676961,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",2.457,ground,unknown,footway,Unknown,nan
Lower Sidehill Trail,99872859,115,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 10}",2.452,ground,hiking,path,Unknown,FS 137A
Green Knob Trail,146253829,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.446,ground,mountain_hiking,path,Unknown,TR 182
Green Ridge Trail,653667175,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.438,ground,unknown,path,Unknown,TR 287
Pink Beds Loop Trail,453518939,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.431,ground,unknown,path,Unknown,nan
Turkey Pen Gap Trail,1181917844,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.424,ground,unknown,path,Unknown,322
Little Hickory Top,114869551,115,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 10}",2.417,ground,hiking,path,Unknown,FS 136
Art Loeb Trail,403379242,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.363,ground,unknown,path,Unknown,nan
Butter Gap Trail,172819700,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.36,ground,unknown,path,Unknown,123
Hickey Fork Trail,653662020,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.359,ground,unknown,path,Unknown,TR 292
Stoney Fork Road,16438375,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",2.344,gravel,grade2,track,Unknown,FS 63A
Trail 453516549,453516549,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",2.335,ground,grade5,track,Unknown,FS 5019
Trail 1189691765,1189691765,60,"{'surface': 25, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",2.33,gravel,unknown,path,Unknown,nan
Meadow Creek Road,19435227,85,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",2.302,gravel,unknown,track,Cocke,FS 142
Little Paint Creek Trail,895263130,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.294,ground,unknown,path,Unknown,TR 11
Lower Heartbreak Ridge,1285273478,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.293,dirt,unknown,path,Unknown,nan
Copper Ridge Trail,1179828243,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",2.292,dirt,unknown,path,Unknown,nan
